"PERSONAL_INFO_ID","PERSON_ID","EFFECTIVE_START_DATE","EFFECTIVE_END_DATE","ETHINIC_GROUP","GENDER","NATIONALITY"
"2201","P00018","20120621","99991231",,"Male",
"2202","P00049","20120621","99991231",,"Male",
"2203","P00066","20120621","99991231",,"Male",
"2204","P00077","20120621","99991231",,"Male",
"2205","P00086","20120621","99991231",,"Male",
"2206","P01265","20120801","99991231",,"Male",
"2207","P00035","20120813","99991231",,"Female",
"2208","P00019","20120901","99991231",,"Male",
"2209","P00024","20120901","99991231",,"Male",
"2210","P00025","20120901","99991231",,"Male",
"2211","P00034","20120901","99991231",,"Male",
"2212","P00059","20120901","99991231",,"Male",
"2213","P00090","20120901","99991231",,"Female",
"2214","P00970","20120901","99991231",,"Male",
"2215","P00021","20121001","99991231",,"Male",
"2216","P00012","20121014","99991231",,"Male",
"2217","P00029","20121201","99991231",,"Male",
"2218","P00078","20121201","99991231",,"Female",
"2219","P00040","20121202","99991231",,"Female",
"2220","P01266","20121216","99991231",,"Male",
"2221","P00054","20121231","99991231",,"Male",
"2222","P00017","20120101","99991231",,"Male",
"2223","P00047","20120217","99991231",,"Male",
"2224","P01267","20120301","99991231",,"Male",
"2225","P00010","20120310","99991231",,"Male",
"2226","P01264","20120401","99991231",,"Female",
"2227","P00022","20120418","99991231",,"Female",
"2228","P01268","20120428","99991231",,"Male",
"2229","P00003","20120501","99991231",,"Male",
"2230","P00020","20120506","99991231",,"Male",
"2231","P00087","20120506","99991231",,"Female",
"2232","P01269","20120506","99991231",,"Male",
"2233","P00039","20120519","99991231",,"Male",
"2234","P00014","20120609","99991231",,"Female",
"2235","P00002","20120617","99991231",,"Male",
"2236","P00032","20120728","99991231",,"Female",
"2237","P00092","20120805","99991231",,"Male",
"2238","P00079","20120811","99991231",,"Female",
"2239","P00083","20120811","99991231",,"Male",
"2240","P00094","20120811","99991231",,"Male",
"2241","P01273","20120812","99991231",,"Female",
"2242","P00971","20120818","99991231",,"Male",
"2243","P00023","20120826","99991231",,"Female",
"2244","P00063","20121001","99991231",,"Female",
"2245","P00001","20121013","99991231",,"Male",
"2246","P00056","20121013","99991231",,"Female",
"2247","P00070","20121013","99991231",,"Male",
"2248","P00058","20121020","99991231",,"Male",
"2249","P00108","20121104","99991231",,"Male",
"2250","P00065","20121110","99991231",,"Male",
"2251","P00028","20121124","99991231",,"Male",
"2252","P01274","20121201","99991231",,"Female",
"2253","P00060","20121208","99991231",,"Male",
"2254","P00055","20120105","99991231",,"Male",
"2255","P00057","20120119","99991231",,"Female",
"2256","P00005","20120126","99991231",,"Male",
"2257","P00050","20120126","99991231",,"Male",
"2258","P00068","20120126","99991231",,"Female",
"2259","P00084","20120126","99991231",,"Male",
"2260","P00091","20120126","99991231",,"Male",
"2261","P00096","20120126","99991231",,"Male",
"2262","P00082","20120201","99991231",,"Male",
"2263","P00085","20120205","99991231",,"Male",
"2264","P00104","20120322","99991231",,"Female",
"2265","P00069","20120329","99991231",,"Female",
"2266","P00072","20120329","99991231",,"Female",
"2267","P00062","20120503","99991231",,"Female",
"2268","P00042","20120517","99991231",,"Female",
"2269","P00080","20120712","99991231",,"Male",
"2270","P00051","20120719","99991231",,"Female",
"2271","P01263","20120801","99991231",,"Male",
"2272","P00071","20120802","99991231",,"Female",
"2273","P00009","20120810","99991231",,"Male",
"2274","P00074","20120816","99991231",,"Male",
"2275","P00089","20120816","99991231",,"Male",
"2276","P00030","20120906","99991231",,"Female",
"2277","P00031","20120927","99991231",,"Female",
"2278","P00041","20120927","99991231",,"Female",
"2279","P00046","20120927","99991231",,"Male",
"2280","P00064","20120927","99991231",,"Male",
"2281","P00036","20121004","99991231",,"Male",
"2282","P00038","20121004","99991231",,"Male",
"2283","P00097","20121004","99991231",,"Female",
"2284","P00008","20121018","99991231",,"Female",
"2285","P00026","20121018","99991231",,"Male",
"2286","P00027","20121018","99991231",,"Male",
"2287","P00075","20121029","99991231",,"Male",
"2288","P00013","20121101","99991231",,"Male",
"2289","P00061","20121102","99991231",,"Female",
"2290","P00048","20121122","99991231",,"Female",
"2291","P00004","20121129","99991231",,"Female",
"2292","P00100","20121207","99991231",,"Male",
"2293","P00044","20121213","99991231",,"Male",
"2294","P00095","20121213","99991231",,"Female",
"2295","P00011","20120104","99991231",,"Male",
"2296","P00043","20120104","99991231",,"Male",
"2297","P00045","20120104","99991231",,"Female",
"2298","P00073","20120104","99991231",,"Female",
"2299","P01271","20120104","99991231",,"Male",
"2300","P01272","20120104","99991231",,"Male",
"2301","P00052","20120117","99991231",,"Female",
"2302","P00088","20120117","99991231",,"Female",
"2303","P00007","20120131","99991231",,"Female",
"2304","P00016","20120207","99991231",,"Male",
"2305","P00076","20120207","99991231",,"Female",
"2306","P00037","20120228","99991231",,"Female",
"2307","P00081","20120228","99991231",,"Female",
"2308","P01270","20120307","99991231",,"Female",
"2309","P00093","20120316","99991231",,"Male",
"2310","P00101","20120316","99991231",,"Male",
"2311","P00015","20120329","99991231",,"Female",
"2312","P00033","20120330","99991231",,"Female",
"2313","P00053","20120411","99991231",,"Female",
"2314","P00067","20120412","99991231",,"Female",
"2315","P00006","20120415","99991231",,"Male",
"2316","P00098","20120516","99991231",,"Male",
"2317","P00102","20120516","99991231",,"Female",
"2318","P00164","20120516","99991231",,"Female",
"2319","P00103","20120518","99991231",,"Female",
"2320","P01275","20120531","99991231",,"Male",
"2321","P00099","20120615","99991231",,"Female",
"2322","P01276","20120620","99991231",,"Female",
"2323","P00105","20120628","99991231",,"Male",
"2324","P00106","20120628","99991231",,"Male",
"2325","P00107","20120630","99991231",,"Male",
"2326","P00109","20120712","99991231",,"Female",
"2327","P00110","20120725","99991231",,"Male",
"2328","P00111","20120801","99991231",,"Male",
"2329","P00112","20120808","99991231",,"Female",
"2330","P01278","20120905","99991231",,"Female",
"2331","P00113","20120906","99991231",,"Female",
"2332","P01279","20120912","99991231",,"Female",
"2333","P00114","20120919","99991231",,"Male",
"2334","P00116","20120921","99991231",,"Female",
"2335","P00115","20120926","99991231",,"Female",
"2336","P00117","20120926","99991231",,"Female",
"2337","P01277","20120926","99991231",,"Female",
"2338","P01280","20120926","99991231",,"Female",
"2339","P00121","20121003","99991231",,"Male",
"2340","P01390","20121004","99991231",,"Male",
"2341","P00125","20121017","99991231",,"Male",
"2342","P00119","20121031","99991231",,"Male",
"2343","P00120","20121101","99991231",,"Female",
"2344","P00122","20121101","99991231",,"Male",
"2345","P00126","20121101","99991231",,"Male",
"2346","P00123","20121107","99991231",,"Male",
"2347","P00133","20121114","99991231",,"Female",
"2348","P00130","20121128","99991231",,"Male",
"2349","P01174","20121128","99991231",,"Male",
"2350","P00127","20121129","99991231",,"Female",
"2351","P00124","20121205","99991231",,"Male",
"2352","P01283","20121205","99991231",,"Female",
"2353","P00118","20121206","99991231",,"Male",
"2354","P00131","20121212","99991231",,"Male",
"2355","P00134","20121216","99991231",,"Female",
"2356","P01282","20120103","99991231",,"Male",
"2357","P00136","20120116","99991231",,"Female",
"2358","P01285","20120117","99991231",,"Male",
"2359","P00128","20120130","99991231",,"Male",
"2360","P00135","20120130","99991231",,"Male",
"2361","P01286","20120213","99991231",,"Male",
"2362","P01287","20120220","99991231",,"Female",
"2363","P00137","20120310","99991231",,"Female",
"2364","P00132","20120313","99991231",,"Male",
"2365","P00138","20120313","99991231",,"Male",
"2366","P01288","20120320","99991231",,"Female",
"2367","P00139","20120406","99991231",,"Male",
"2368","P00140","20120418","99991231",,"Male",
"2369","P01397","20120418","99991231",,"Male",
"2370","P00144","20120424","99991231",,"Male",
"2371","P00129","20120502","99991231",,"Male",
"2372","P00141","20120502","99991231",,"Male",
"2373","P00143","20120505","99991231",,"Male",
"2374","P00145","20120515","99991231",,"Female",
"2375","P00142","20120522","99991231",,"Male",
"2376","P00146","20120530","99991231",,"Male",
"2377","P00152","20120605","99991231",,"Male",
"2378","P00147","20120629","99991231",,"Female",
"2379","P00153","20120703","99991231",,"Female",
"2380","P00155","20120706","99991231",,"Female",
"2381","P00156","20120710","99991231",,"Male",
"2382","P00158","20120710","99991231",,"Male",
"2383","P00149","20120724","99991231",,"Male",
"2384","P00157","20120724","99991231",,"Female",
"2385","P00159","20120724","99991231",,"Male",
"2386","P00154","20120731","99991231",,"Female",
"2387","P01292","20120801","99991231",,"Male",
"2388","P01293","20120801","99991231",,"Female",
"2389","P00150","20120807","99991231",,"Female",
"2390","P00160","20120904","99991231",,"Female",
"2391","P00161","20120904","99991231",,"Female",
"2392","P00162","20120905","99991231",,"Female",
"2393","P00163","20120905","99991231",,"Male",
